Date,DJI,NIFTY,UKX
2015-09-01,16058.35,7843.3,5979.2
2015-09-02,16351.38,7948.9,6192.03
2015-09-03,16374.76,7950.9,6247.94
2015-09-04,16102.38,8119.3,6058.54
2015-09-08,16492.68,8152.9,6083.31
2015-09-09,16253.57,8177.4,6194.1
2015-09-10,16330.4,8129.35,6042.92
2015-09-11,16433.09,8189.7,6074.52
2015-09-14,16370.96,8143.6,6146.1
2015-09-15,16599.85,8131.7,6229.01
2015-09-16,16739.95,8107.9,6155.81
2015-09-17,16674.74,8179.5,6117.76
2015-09-18,16384.58,8238.15,6084.59
2015-09-21,16510.19,8275.05,6137.6
2015-09-22,16330.47,8261.65,6229.21
2015-09-23,16279.89,8251.7,6186.99
2015-09-24,16201.32,8295.45,6104.11
2015-09-25,16314.67,8260.55,6108.71
2015-09-28,16001.89,8232.9,5935.84
2015-09-29,16049.13,8171.2,6032.24
2015-09-30,16284.7,8111.75,5961.49
2015-10-01,16272.01,8065.8,6109.01
2015-10-02,16472.37,8050.8,5958.86
2015-10-05,16776.43,8060.7,5909.24
2015-10-06,16790.19,8040.2,6061.61
2015-10-07,16912.29,7955.45,6072.47
2015-10-08,17050.75,7954.3,6129.98
2015-10-09,17084.49,7915.2,6298.92
2015-10-12,17131.86,7783.35,6326.16
2015-10-13,17081.89,7762.25,6336.35
2015-10-14,16924.75,7806.6,6374.82
2015-10-15,17141.75,7837.55,6416.16
2015-10-16,17215.97,7731.8,6371.18
2015-10-19,17230.54,7842.75,6342.28
2015-10-20,17217.11,7856.55,6269.61
2015-10-21,17168.61,7849.25,6338.67
2015-10-22,17489.16,7831.6,6378.04
2015-10-23,17646.7,7883.8,6352.33
2015-10-26,17623.05,7942.7,6345.13
2015-10-27,17581.43,7935.25,6348.42
2015-10-28,17779.52,7954.9,6376.28
2015-10-29,17755.8,7931.35,6444.08
2015-10-30,17663.54,7864.15,6417.02
2015-11-02,17828.76,7781.9,6365.27
2015-11-03,17918.15,7765.4,6437.8
2015-11-04,17867.58,7701.7,6395.8
2015-11-05,17863.43,7612.5,6361.09
2015-11-06,17910.33,7683.3,6361.8
2015-11-09,17730.48,7610.45,6383.61
2015-11-10,17758.21,7650.05,6412.88
2015-11-11,17702.22,7700.9,6364.9
2015-11-12,17448.07,7750.9,6353.83
2015-11-13,17245.24,7844.35,6295.16
2015-11-16,17483.01,7761.95,6275.28
2015-11-17,17489.5,7834.45,6297.2
2015-11-18,17737.16,7786.1,6178.68
2015-11-19,17732.75,7865.95,6118.28
2015-11-20,17823.81,7861.05,6146.38
2015-11-23,17792.68,7925.15,6268.76
2015-11-24,17812.19,7928.95,6278.97
2015-11-25,17813.39,7896.25,6329.93
2015-11-27,17798.49,7946.35,6334.63
2015-11-30,17719.92,7963.2,6305.49
2015-12-01,17888.35,7791.3,6277.23
2015-12-02,17729.68,7784.65,6337.64
2015-12-03,17477.67,7741,6393.13
2015-12-04,17847.63,7568.3,6375.15
2015-12-07,17730.51,7601.35,6356.09
2015-12-08,17568,7563.85,6395.65
2015-12-09,17492.3,7510.3,6420.93
2015-12-10,17574.75,7562.4,6275
2015-12-11,17265.21,7536.8,6238.29
2015-12-14,17368.5,7437.8,6223.52
2015-12-15,17524.91,7351,6135.22
2015-12-16,17749.09,7435.1,6126.68
2015-12-17,17495.84,7309.3,6088.05
2015-12-18,17128.55,7276.8,5952.78
2015-12-21,17251.62,7422.45,5874.06
2015-12-22,17417.27,7436.15,6017.79
2015-12-23,17602.61,7437.75,6061.19
2015-12-24,17552.17,7424.65,6102.54
2015-12-28,17528.27,7563.55,6052.42
2015-12-29,17720.98,7555.95,6034.84
2015-12-30,17603.87,7455.55,6083.1
2015-12-31,17425.03,7361.8,6240.98
2016-01-04,17148.94,7404,6254.64
2016-01-05,17158.66,7489.1,6314.57
2016-01-06,16906.51,7387.25,6274.05
2016-01-07,16514.1,7298.2,6242.32
2016-01-08,16346.45,7215.7,6093.43
2016-01-11,16398.57,6976.35,6137.24
2016-01-12,16516.22,6980.95,6073.38
2016-01-13,16151.41,7162.95,5954.08
2016-01-14,16379.05,7048.25,5912.44
2016-01-15,15988.08,7108.45,5871.83
2016-01-19,16016.02,7191.75,5929.24
2016-01-20,15766.74,7210.75,5960.97
2016-01-21,15882.68,7234.55,5918.23
2016-01-22,16093.51,7109.55,5804.1
2016-01-25,15885.22,7018.7,5779.92
2016-01-26,16167.23,6970.6,5876.8
2016-01-27,15944.46,7029.75,5673.58
2016-01-28,16069.64,6987.05,5773.79
2016-01-29,16466.3,7222.3,5900.01
2016-02-01,16449.18,7368.85,5877
2016-02-02,16153.54,7475.6,5911.46
2016-02-03,16336.66,7485.35,5990.37
2016-02-04,16416.58,7485.3,5931.78
2016-02-05,16204.97,7531.8,6083.79
2016-02-08,16027.05,7486.15,6060.1
2016-02-09,16014.38,7510.2,5922.01
2016-02-10,15914.74,7538.75,5837.14
2016-02-11,15660.18,7460.6,5898.76
2016-02-12,15973.84,7498.75,5848.06
2016-02-16,16196.41,7512.55,5689.36
2016-02-17,16453.83,7604.35,5632.19
2016-02-18,16413.43,7704.25,5672.3
2016-02-19,16391.99,7714.9,5536.97
2016-02-22,16620.66,7716.5,5707.6
2016-02-23,16431.78,7615.1,5824.28
2016-02-24,16484.99,7597,5862.17
2016-02-25,16697.29,7735.2,6030.32
2016-02-26,16639.97,7738.4,5971.95
2016-02-29,16516.5,7713.05,5950.23
2016-03-01,16865.08,7758.8,6037.73
2016-03-02,16899.32,7603.2,5962.31
2016-03-03,16943.9,7614.35,5867.18
2016-03-04,17006.77,7546.45,6012.81
2016-03-07,17073.95,7555.2,6096.01
2016-03-08,16964.1,7671.4,6097.09
2016-03-09,17000.36,7708.95,6152.88
2016-03-10,16995.13,7850.45,6147.06
2016-03-11,17213.31,7914.7,6130.46
2016-03-14,17229.13,7914.75,6199.43
2016-03-15,17251.53,7912.05,6182.4
2016-03-16,17325.76,7899.3,6125.44
2016-03-17,17481.49,7855.05,6146.32
2016-03-18,17602.3,7962.65,6036.7
2016-03-21,17623.87,7979.9,6139.79
2016-03-22,17582.57,7847.25,6174.57
2016-03-23,17502.59,7849.8,6139.97
2016-03-24,17515.73,7805.9,6175.49
2016-03-28,17535.39,7747,6201.12
2016-03-29,17633.11,7706.55,6189.64
2016-03-30,17716.66,7735.5,6184.58
2016-03-31,17685.09,7733.45,6192.74
2016-04-01,17792.75,7866.05,6199.11
2016-04-04,17737,7887.8,6106.48
